Input Size,Multithread,Sequential
1,3,0
2,1,0
3,0,0
4,0,0
5,1,0
6,2,0
7,1,0
8,0,0
9,0,0
10,0,0
11,1,0
12,3,0
13,2,1
14,1,0
15,1,0
16,3,0
17,1,1
18,2,0
19,1,0
20,2,1
21,0,0
22,0,1
23,0,1
24,0,0
25,1,0
26,0,0
27,2,0
28,0,0
29,0,1
30,1,0
31,7,0
32,2,0
33,2,0
34,0,0
35,1,0
36,1,0
37,1,0
38,4,1
39,3,0
40,2,0
41,0,0
42,1,0
43,1,0
44,1,0
45,3,1
46,2,0
47,1,0
48,0,1
49,1,0
50,1,0
51,1,0
52,1,0
53,1,0
54,2,1
55,4,0
56,1,0
57,1,1
58,1,0
59,2,0
60,2,0
61,2,0
62,2,0
63,1,0
64,2,0
65,1,0
66,1,1
67,1,0
68,3,1
69,2,0
70,1,0
71,0,1
72,1,0
73,1,1
74,1,0
75,1,0
76,1,1
77,3,0
78,2,0
79,2,0
80,1,1
81,2,0
82,2,0
83,1,1
84,1,1
85,1,0
86,1,0
87,2,1
88,1,1
89,3,0
90,2,1
91,2,0
92,1,1
93,1,1
94,2,1
95,2,2
96,2,0
97,2,0
98,1,0
99,1,1
100,2,1
101,2,1
102,2,1
103,1,1
104,1,1
105,4,1
106,2,1
107,1,1
108,1,1
109,2,1
110,2,2
111,2,1
112,2,1
113,2,2
114,3,2
115,2,1
116,2,1
117,4,1
118,2,1
119,2,2
120,2,3
121,2,1
122,2,1
123,2,2
124,3,3
125,2,1
126,2,2
127,4,2
128,2,2
129,3,4
130,3,1
131,3,3
132,3,1
133,3,1
134,2,3
135,3,3
136,3,2
137,3,1
138,3,3
139,2,2
140,2,3
141,3,2
142,2,3
143,3,4
144,4,2
145,3,3
146,3,2
147,3,3
148,4,3
149,3,3
150,5,2
151,3,3
152,5,3
153,3,2
154,5,4
155,2,3
156,5,4
157,4,3
158,6,3
159,3,4
160,5,5
161,3,5
162,4,3
163,4,4
164,3,4
165,4,5
166,4,3
167,4,4
168,3,5
169,4,4
170,6,5
171,4,7
172,5,3
173,6,4
174,4,6
175,4,4
176,6,4
177,4,8
178,5,4
179,5,5
180,6,5
181,6,8
182,5,8
183,4,5
184,6,5
185,4,6
186,5,8
187,5,9
188,5,10
189,5,6
190,5,6
191,7,6
192,6,6
193,5,7
194,5,8
195,5,8
196,5,7
197,7,7
198,5,7
199,6,6
200,7,8
201,8,7
202,7,6
203,8,6
204,7,7
205,7,7
206,7,9
207,7,8
208,8,9
209,6,10
210,7,8
211,7,11
212,6,12
213,7,9
214,9,9
215,6,12
216,8,11
217,6,11
218,7,10
219,8,12
220,7,13
221,9,10
222,9,11
223,8,11
224,9,11
225,7,14
226,8,11
227,10,12
228,8,11
229,8,13
230,8,15
231,8,13
232,10,12
233,8,13
234,8,14
235,9,13
236,9,12
237,10,17
238,9,14
239,10,17
240,10,16
241,10,17
242,11,18
243,10,16
244,10,15
245,11,17
246,11,16
247,13,16
248,11,17
249,12,17
250,11,19
251,13,22
252,18,32
253,14,16
254,13,17
255,14,18
256,16,18
257,12,22
258,16,30
259,12,26
260,25,26
261,16,23
262,17,32
263,21,29
264,14,23
265,14,22
266,14,21
267,14,21
268,14,23
269,15,23
270,13,27
271,15,23
272,14,24
273,15,22
274,15,25
275,15,24
276,16,24
277,16,26
278,16,25
279,15,28
280,15,27
281,17,27
282,17,27
283,16,28
284,15,31
285,17,29
286,16,30
287,17,28
288,16,29
289,18,29
290,17,31
291,20,30
292,18,31
293,18,32
294,19,33
295,19,32
296,19,35
297,19,32
