"No of Threads","Multithread"
"2","148"
"4","84"
"6","85"
"8","87"
"10","82"
"12","80"
"14","101"
"16","111"
"18","101"
"20","84"
"22","81"
"24","84"
"26","97"
"28","89"
"30","80"
"32","83"
"34","84"
"36","84"
"38","104"
"40","87"
"42","85"
"44","84"
"46","82"
"48","86"
"50","81"
"52","97"
"54","85"
"56","87"
"58","88"
"60","82"
"62","88"
"64","84"
"66","85"
"68","84"
"70","84"
"72","94"
"74","87"
"76","90"
"78","87"
"80","100"
"82","91"
"84","109"
"86","84"
"88","97"
"90","92"
"92","106"
"94","83"
"96","107"
"98","86"
"100","111"
"102","87"
"104","89"
"106","87"
"108","100"
"110","88"
"112","101"
"114","88"
"116","105"
"118","85"
"120","100"
"122","88"
"124","110"
"126","103"
"128","90"
"130","104"
"132","86"
"134","94"
"136","100"
"138","93"
"140","108"
"142","95"
"144","89"
"146","130"
"148","91"
"150","99"
"152","113"
"154","89"
"156","92"
"158","95"
"160","108"
"162","93"
"164","109"
"166","99"
"168","107"
"170","93"
"172","92"
"174","90"
"176","91"
"178","114"
"180","111"
"182","105"
"184","94"
"186","103"
"188","95"
"190","105"
"192","103"
"194","93"
"196","106"
"198","106"
"200","120"
"202","101"
"204","111"
"206","108"
"208","101"
"210","114"
"212","121"
"214","113"
"216","118"
"218","112"
"220","102"
"222","107"
"224","101"
"226","110"
"228","100"
"230","119"
"232","111"
"234","107"
"236","106"
"238","107"
"240","107"
"242","110"
"244","110"
"246","117"
"248","113"
"250","111"
"252","113"
"254","109"
"256","105"
"258","108"
"260","118"
"262","103"
"264","111"
"266","115"
"268","113"
"270","151"
"272","113"
"274","119"
"276","107"
"278","112"
"280","109"
"282","104"
"284","111"
"286","111"
"288","115"
"290","110"
"292","118"
"294","109"
"296","112"
"298","108"
"300","113"
"302","121"
"304","103"
"306","114"
"308","114"
"310","126"
"312","113"
"314","120"
"316","123"
"318","108"
"320","108"
"322","111"
"324","121"
"326","125"
"328","122"
"330","116"
"332","132"
"334","103"
"336","118"
"338","119"
"340","128"
"342","111"
"344","105"
"346","124"
"348","117"
"350","128"
"352","99"
"354","123"
"356","101"
"358","134"
"360","123"
"362","123"
"364","115"
"366","128"
"368","147"
"370","131"
"372","115"
"374","117"
"376","109"
"378","127"
"380","124"
"382","122"
"384","129"
"386","125"
"388","127"
"390","117"
"392","125"
"394","129"
"396","145"
"398","160"
"400","131"
"402","121"
"404","114"
"406","126"
"408","115"
"410","130"
"412","123"
"414","133"
"416","121"
"418","125"
"420","116"
"422","130"
"424","134"
"426","125"
"428","146"
"430","117"
"432","132"
"434","134"
"436","131"
"438","131"
"440","119"
"442","124"
"444","129"
"446","124"
"448","120"
"450","139"
"452","126"
"454","182"
"456","143"
"458","125"
"460","139"
"462","131"
"464","131"
"466","134"
"468","132"
"470","133"
"472","126"
"474","130"
"476","136"
"478","130"
"480","106"
"482","136"
"484","131"
"486","121"
"488","120"
"490","128"
"492","130"
"494","135"
"496","135"
"498","143"
"500","163"
